disease,drug,description
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
diarrhea,sanjni vati,Provides relief from diarrhea and associated symptoms.
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
Colic,Bark,Used for the relief of colic pain.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
Anthelmintic,Madana,Employed for expelling intestinal worms.
arthritis,ajwan water,Helps in reducing arthritis pain.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
gastritis,panchkol churna,Improves digestion and reduces acidity.
gastritis,laxative,Alleviates constipation and discomfort.
Carminative,Pipli,Utilized for its carminative properties.
Skin protective,Chandan,Utilized for its skin-protective properties.
tonic,Prasarani,Used as a tonic.
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Carminative,Pipli,Utilized for its carminative properties.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
migraine,ashwagandha,Helps in managing stress-related migraines.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Leprosy,Pipli,Used traditionally for leprosy treatment.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
Anthelmintic,Madana,Employed for expelling intestinal worms.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Anthelmintic,Madana,Employed for expelling intestinal worms.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
Sedative,Pipli,Employed for its sedative effects.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Colic,Bark,Used for the relief of colic pain.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
Antispasmodic,Madana,Employed for its antispasmodic properties.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Colic,Bark,Used for the relief of colic pain.
Colic,Bark,Used for the relief of colic pain.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
Sedative,Pipli,Employed for its sedative effects.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
piles,Prasarani,Utilized in traditional medicine for managing piles
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
astringent,Prasarani,Employed for its astringent properties.
arthritis,ricinus communis,Reduces joint pain and inflammation.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Dysentery,Anar,Employed for its effects on dysentery.
migraine,trikatu,Reduces migraine intensity and frequency.
Sedative,Pipli,Employed for its sedative effects.
migraine,Vasant Kusumakar Ras,No description available
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
Antibacterial,Anar,Employed for its antibacterial properties.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
Epilepsy,Pipli,Used traditionally for managing epilepsy.
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
Galactogogue,Bilai kand,Employed to promote lactation.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
Galactogogue,Bilai kand,Employed to promote lactation.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Astringent,Anar,Used traditionally for its astringent effects.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
Sedative,Pipli,Employed for its sedative effects.
migraine,Chandraprabha vati,No description available
migraine,drakshasava,Helps in managing migraine attacks.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Astringent,Anar,Used traditionally for its astringent effects.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
nausea,Laung,Laung helps in relieving nausea and vomiting.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Sedative,Pipli,Employed for its sedative effects.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
stimulant,Jaiphal,Utilized as a stimulant
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
Astringent,Anar,Used traditionally for its astringent effects.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
gastritis,panchkol churna,Improves digestion and reduces acidity.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
tonic,Jaiphal,Employed as a tonic
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
Headache,Mulaka,Used traditionally for headache relief.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
Dyspepsia,Bark,Used for indigestion or dyspepsia.
astringent,Prasarani,Employed for its astringent properties.
Antispasmodic,Madana,Employed for its antispasmodic properties.
Counter-irritant,Pipli,Employed as a counter-irritant.
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
astringent,Prasarani,Employed for its astringent properties.
tonic,Jaiphal,Employed as a tonic
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Galactogogue,Bilai kand,Employed to promote lactation.
Abortifacient,Madana,Used traditionally for inducing abortion.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
migraine,ginger,Alleviates nausea and vomiting during migraines.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
Dysentery,Anar,Employed for its effects on dysentery.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Astringent,Anar,Used traditionally for its astringent effects.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
Tonic,Anar,Utilized as a general tonic.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
Anthelmintic,Madana,Employed for expelling intestinal worms.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
Dysentery,Anar,Employed for its effects on dysentery.
diarrhea,ajamodarka,Aids in digestion and reduces diarrhea symptoms.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
Expectorant,Madana,Utilized for its expectorant properties.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
migraine,ginger,Alleviates nausea and vomiting during migraines.
migraine,trikatu,Reduces migraine intensity and frequency.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
Galactogogue,Bilai kand,Employed to promote lactation.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Biliousness,Bark,Addressing biliousness or excess bile secretion.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
gastritis,laxative,Alleviates constipation and discomfort.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
Haematinic,Pipli,Employed for its effects on blood formation.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Abortifacient,Madana,Used traditionally for inducing abortion.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
Antispasmodic,Madana,Employed for its antispasmodic properties.
Antibacterial,Anar,Employed for its antibacterial properties.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
Dysentery,Anar,Employed for its effects on dysentery.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
astringent,Prasarani,Employed for its astringent properties.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
 gastric,Laung, Laung helps in soothing gastric irritation and promoting digestion.
Headache,Mulaka,Used traditionally for headache relief.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
migraine,shankh bhasma,Helps in relieving migraine headaches.
migraine,fenugreek,Helps in relieving migraine symptoms.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
expectorant,Jaiphal,Used for its expectorant properties.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
diuretic,Prasarani, Used for its diuretic effects.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
urinary tract infection,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari are beneficial for urinary tract infections, helping to alleviate symptoms and promote healing."
Tonic,Anar,Utilized as a general tonic.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Emetic,Madana,Employed as an emetic agent.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
migraine,Jyotishmati,No description available
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
arthritis,ajwan water,Helps in reducing arthritis pain.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
tonic,Prasarani,Used as a tonic.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
migraine,ashwagandha,Helps in managing stress-related migraines.
piles,Prasarani,Utilized in traditional medicine for managing piles
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
Skin protective,Chandan,Utilized for its skin-protective properties.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
Dysentery,Pipli,Employed for its effects on dysentery.
migraine,fenugreek,Helps in relieving migraine symptoms.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Headache,Mulaka,Used traditionally for headache relief.
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
Abortifacient,Madana,Used traditionally for inducing abortion.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
migraine,Jyotishmati,No description available
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
gastritis,trikatu churna,Reduces acidity and promotes healing of the stomach lining.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Counter-irritant,Pipli,Employed as a counter-irritant.
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
stimulant,Jaiphal,Utilized as a stimulant
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
nausea,Laung,Laung helps in relieving nausea and vomiting.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
Astringent,Anar,Used traditionally for its astringent effects.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Biliousness,Bark,Addressing biliousness or excess bile secretion.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Abortifacient,Madana,Used traditionally for inducing abortion.
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
diuretic,Prasarani, Used for its diuretic effects.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Diuretic,Bilai kand,Used for its diuretic effects.
Astringent,"Manjistha, Kala-meshika",Employed for its astringent properties.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Dysentery,Anar,Employed for its effects on dysentery.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
migraine,fenugreek,Helps in relieving migraine symptoms.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Headache,Mulaka,Used traditionally for headache relief.
Tonic,Anar,Utilized as a general tonic.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
migraine,shankh-vati,Reduces migraine frequency and severity.
Carminative,Pipli,Utilized for its carminative properties.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
expectorant,Jaiphal,Used for its expectorant properties.
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
Antibacterial,Anar,Employed for its antibacterial properties.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
stimulant,Jaiphal,Utilized as a stimulant
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
Emetic,Madana,Employed as an emetic agent.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
stimulant,Jaiphal,Utilized as a stimulant
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
arthritis,nirugandi oil,Reduces joint pain and inflammation.
Diuretic,Bilai kand,Used for its diuretic effects.
Sedative,Pipli,Employed for its sedative effects.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
Diuretic,Bilai kand,Used for its diuretic effects.
Galactogogue,Bilai kand,Employed to promote lactation.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
Emetic,Madana,Employed as an emetic agent.
Anthelmintic,Madana,Employed for expelling intestinal worms.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Antifungal,Chandan,Used traditionally as an antifungal agent.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
Haematinic,Pipli,Employed for its effects on blood formation.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Expectorant,Madana,Utilized for its expectorant properties.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Carminative,Pipli,Utilized for its carminative properties.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
